hersteller,modell,generation,fahrzeugbezeichnung,baujahr,kraftstoffart,verbrauch_l_pro_100_km,tankgroesse_1,adac_url,adac_modell_url,adac_generation_url
Mazda,MX-30,DR,Mazda MX-30 e-SKYACTIV EV 100th Anniversary (11/20 - 01/21),2020,Strom,,,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/317348/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/
Mazda,MPV,LW Facelift,Mazda MPV 2.0 TD Comfort7 (04/03 - 06/04),2003,Diesel,7.1,75.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mpv/lw-facelift-2/998085/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mpv/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mpv/lw-facelift-2/
Mazda,CX-80,KL,Mazda CX-80 2.5 e-Skyactiv PHEV Homura Plus AWD Automatik (10/24 - 11/25),2024,Super / Strom,1.6,70.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/334512/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/
Mazda,MX-30,DR,Mazda MX-30 e-SKYACTIV R-EV Makoto (02/23 - 01/25),2023,Strom / Super,,,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/327047/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/
Mazda,CX-80,KL,Mazda CX-80 3.3 e-Skyactiv D 254 Homura AWD Automatik (ab 11/25),2025,Diesel,5.6,74.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/346722/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/
Mazda,CX-80,KL,Mazda CX-80 2.5 e-Skyactiv PHEV Homura Plus AWD Automatik (ab 11/25),2025,Super / Strom,4.0,70.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/346719/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/
Mazda,MPV,LW Facelift,Mazda MPV 2.3 Comfort6 (10/03 - 11/05),2003,Super,10.1,75.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mpv/lw-facelift-2/998082/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mpv/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mpv/lw-facelift-2/
Mazda,CX-80,KL,Mazda CX-80 2.5 e-Skyactiv PHEV Takumi AWD Automatik (ab 11/25),2025,Super / Strom,4.0,70.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/346718/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/
Mazda,MX-30,DR,Mazda MX-30 e-SKYACTIV EV (09/20 - 04/22),2020,Strom,,,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/311428/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/mx-30/dr/
Mazda,CX-5,GH,Mazda CX-5 2.0 SKYACTIV-G 160 Sports-Line AWD Automatik (04/12 - 02/15),2012,Super,6.6,58.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-5/gh/230373/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-5/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-5/gh/
